,estimator,min_score,mean_score,max_score,std_score,n_neighbors,alpha,max_iter,learning_rate,n_estimators
0,KNeighborsClassifier,0.9937470478462138,0.9939103272536652,0.9940170656391785,0.00011726058587818537,1,,,,
6,MLPClassifier,0.9821183869806528,0.9898239285715656,0.993850724473072,0.005450493136374674,,0.0001,1000,,
7,MLPClassifier,0.9903277793276504,0.9914086545646806,0.9933887084398453,0.0014020730900892381,,0.001,1000,,
1,KNeighborsClassifier,0.989705246466131,0.9901085372456183,0.9903634192006993,0.0002884634251841676,3,,,,
8,MLPClassifier,0.9862524659814358,0.9881904377471509,0.9896956744073042,0.0014386025208935655,,0.01,1000,,
2,KNeighborsClassifier,0.9865074807830624,0.9873143036082546,0.9877336456437177,0.0005706581511338445,5,,,,
3,KNeighborsClassifier,0.9830040081353375,0.9835180536632565,0.983965024025129,0.0003951895693065496,10,,,,
4,KNeighborsClassifier,0.9768444777123351,0.9776084324584758,0.9782990707026276,0.0005960937700004063,15,,,,
5,KNeighborsClassifier,0.9738953028589047,0.9747582125374928,0.9759107070592042,0.0008478828766094631,20,,,,
9,MLPClassifier,0.9587048833177634,0.9609229032968561,0.9652679556525225,0.0030726405219901856,,0.1,1000,,
10,MLPClassifier,0.8568852725202547,0.8600242978627685,0.8616337929140316,0.00221986616209459,,1,1000,,
15,AdaBoostClassifier,0.7581978409482374,0.7612854137141633,0.7637491702189818,0.002308848806046343,,,,0.8,80
14,AdaBoostClassifier,0.752173642012194,0.7537526889792892,0.7557125535678014,0.001469634942242255,,,,0.8,65
18,AdaBoostClassifier,0.707542095237917,0.7298256274256234,0.7537057838296237,0.018880032534648174,,,,1.0,50
13,AdaBoostClassifier,0.7363362720009129,0.7438771728762813,0.7532943632941023,0.007049092703432288,,,,0.8,50
20,AdaBoostClassifier,0.745047539027144,0.7464432598920959,0.7490612630881847,0.0018525614307946079,,,,1.0,80
19,AdaBoostClassifier,0.7076946438131198,0.7281082871435979,0.74279543438008,0.01489095794416453,,,,1.0,65
17,AdaBoostClassifier,0.6959731395140442,0.7212795913252236,0.7354612081332224,0.017937825141382636,,,,1.0,35
12,AdaBoostClassifier,0.7285651251162066,0.7292497781793491,0.7299900120887413,0.0005830338149010383,,,,0.8,35
11,AdaBoostClassifier,0.692282043794573,0.7115424794165285,0.7231647030354581,0.013715960833995155,,,,0.8,20
16,AdaBoostClassifier,0.701339560405069,0.7031796809520919,0.7063399660848736,0.0022447182660302245,,,,1.0,20
