,estimator,min_score,mean_score,max_score,std_score,n_neighbors,alpha,max_iter,learning_rate,n_estimators
6,MLPClassifier,0.9950094154361506,0.9952702014028182,0.9954146716566841,0.00018476139541532088,,0.0001,1000,,
7,MLPClassifier,0.9940485353761663,0.9944706274743403,0.9950234744329929,0.00040861486861961007,,0.001,1000,,
0,KNeighborsClassifier,0.9940813238045647,0.9941361756483705,0.9942152795221569,5.731290888648718e-05,1,,,,
8,MLPClassifier,0.9899652939770227,0.9905742722318522,0.990914880644357,0.0004316213532691609,,0.01,1000,,
1,KNeighborsClassifier,0.9900721116971618,0.9904821046216767,0.9907094282858289,0.00029048138501305745,3,,,,
2,KNeighborsClassifier,0.9867615410249324,0.9876372965319739,0.9881017234749929,0.0006196319555714957,5,,,,
3,KNeighborsClassifier,0.9832812002245944,0.9838646678470996,0.98430369758838,0.0004297456153638118,10,,,,
4,KNeighborsClassifier,0.9773897126605562,0.9780101760882781,0.9786208629878304,0.0005026625557728322,15,,,,
5,KNeighborsClassifier,0.9743238371785453,0.9751874058627535,0.9761610626405458,0.0007540728925055223,20,,,,
9,MLPClassifier,0.9596198695512864,0.9621369227246679,0.9637047905295222,0.0017976576421326906,,0.1,1000,,
10,MLPClassifier,0.8608854519080117,0.8632716865856335,0.8645324726379404,0.001688227079374518,,1,1000,,
15,AdaBoostClassifier,0.7378283748215052,0.7453007592410077,0.7505053987777099,0.005418101404037346,,,,0.8,80
14,AdaBoostClassifier,0.7304411884430566,0.7352692053699652,0.7380906180952541,0.0034300912346901698,,,,0.8,65
19,AdaBoostClassifier,0.724988422653321,0.7311179963828337,0.7364801254427642,0.004722748969324029,,,,1.0,65
20,AdaBoostClassifier,0.7309707685650371,0.7322361100854321,0.7331056100281486,0.0009153887822920461,,,,1.0,80
18,AdaBoostClassifier,0.7181821677738653,0.7233215113733404,0.7308251129242567,0.005425452501230727,,,,1.0,50
13,AdaBoostClassifier,0.7243433354620998,0.7266174559689752,0.730494255248888,0.002754981910773496,,,,0.8,50
12,AdaBoostClassifier,0.712551624543494,0.7192804241100896,0.7272704596506635,0.00607476001526285,,,,0.8,35
17,AdaBoostClassifier,0.7003657177126774,0.7080138554372305,0.7160328734139858,0.006401463690092822,,,,1.0,35
11,AdaBoostClassifier,0.6975949793707698,0.6988531866308835,0.7000313349470433,0.0009962476932269487,,,,0.8,20
16,AdaBoostClassifier,0.6696383535315891,0.6788015998253906,0.6942551851214629,0.010990097753695336,,,,1.0,20
